Var1,Var2,Freq
,  order_id,Length:100196     
,  order_id,Class :character  
,  order_id,Mode  :character  
,  order_id,NA
,  order_id,NA
,  order_id,NA
,  order_id,NA
,customer_id,Length:100196     
,customer_id,Class :character  
,customer_id,Mode  :character  
,customer_id,NA
,customer_id,NA
,customer_id,NA
,customer_id,NA
,order_status,Length:100196     
,order_status,Class :character  
,order_status,Mode  :character  
,order_status,NA
,order_status,NA
,order_status,NA
,order_status,NA
,order_purchase_timestamp,Min.   :2016-09-15 12:16:00  
,order_purchase_timestamp,1st Qu.:2017-09-14 09:43:15  
,order_purchase_timestamp,Median :2018-01-20 16:04:30  
,order_purchase_timestamp,Mean   :2018-01-02 00:12:16  
,order_purchase_timestamp,3rd Qu.:2018-05-05 21:12:30  
,order_purchase_timestamp,Max.   :2018-08-29 15:00:00  
,order_purchase_timestamp,NA
,order_approved_at,Min.   :2016-09-15 12:16:00  
,order_approved_at,1st Qu.:2017-09-14 15:58:45  
,order_approved_at,Median :2018-01-20 23:10:00  
,order_approved_at,Mean   :2018-01-02 11:34:06  
,order_approved_at,3rd Qu.:2018-05-06 13:45:45  
,order_approved_at,Max.   :2018-08-29 15:10:00  
,order_approved_at,NA's   :14  
,order_delivered_carrier_date,Min.   :2016-10-08 10:34:00  
,order_delivered_carrier_date,1st Qu.:2017-09-18 17:04:15  
,order_delivered_carrier_date,Median :2018-01-24 11:15:00  
,order_delivered_carrier_date,Mean   :2018-01-05 05:34:04  
,order_delivered_carrier_date,3rd Qu.:2018-05-08 14:45:00  
,order_delivered_carrier_date,Max.   :2018-09-11 19:48:00  
,order_delivered_carrier_date,NA's   :2  
,order_delivered_customer_date,Min.   :2016-10-11 13:46:00  
,order_delivered_customer_date,1st Qu.:2017-09-25 22:07:45  
,order_delivered_customer_date,Median :2018-02-02 16:07:00  
,order_delivered_customer_date,Mean   :2018-01-14 11:54:52  
,order_delivered_customer_date,3rd Qu.:2018-05-15 23:31:30  
,order_delivered_customer_date,Max.   :2018-10-17 13:22:00  
,order_delivered_customer_date,NA's   :8  
,order_estimated_delivery_date,Min.   :2016-10-04 00:00:00  
,order_estimated_delivery_date,1st Qu.:2017-10-05 00:00:00  
,order_estimated_delivery_date,Median :2018-02-16 00:00:00  
,order_estimated_delivery_date,Mean   :2018-01-25 18:56:40  
,order_estimated_delivery_date,3rd Qu.:2018-05-28 00:00:00  
,order_estimated_delivery_date,Max.   :2018-10-25 00:00:00  
,order_estimated_delivery_date,NA
,customer_unique_id,Length:100196     
,customer_unique_id,Class :character  
,customer_unique_id,Mode  :character  
,customer_unique_id,NA
,customer_unique_id,NA
,customer_unique_id,NA
,customer_unique_id,NA
,customer_zip_code_prefix,Min.   : 1003  
,customer_zip_code_prefix,1st Qu.:11320  
,customer_zip_code_prefix,Median :24416  
,customer_zip_code_prefix,Mean   :35139  
,customer_zip_code_prefix,3rd Qu.:59014  
,customer_zip_code_prefix,Max.   :99980  
,customer_zip_code_prefix,NA
,customer_city,Length:100196     
,customer_city,Class :character  
,customer_city,Mode  :character  
,customer_city,NA
,customer_city,NA
,customer_city,NA
,customer_city,NA
,customer_state,Length:100196     
,customer_state,Class :character  
,customer_state,Mode  :character  
,customer_state,NA
,customer_state,NA
,customer_state,NA
,customer_state,NA
, customer_lat,Min.   :-36.60  
, customer_lat,1st Qu.:-23.58  
, customer_lat,Median :-22.92  
, customer_lat,Mean   :-21.21  
, customer_lat,3rd Qu.:-20.14  
, customer_lat,Max.   : 42.18  
, customer_lat,NA's   :273  
, customer_lng,Min.   :-72.66  
, customer_lng,1st Qu.:-48.11  
, customer_lng,Median :-46.63  
, customer_lng,Mean   :-46.19  
, customer_lng,3rd Qu.:-43.64  
, customer_lng,Max.   : -8.57  
, customer_lng,NA's   :273  
,   Quantity,Min.   : 1.0  
,   Quantity,1st Qu.: 1.0  
,   Quantity,Median : 1.0  
,   Quantity,Mean   : 1.1  
,   Quantity,3rd Qu.: 1.0  
,   Quantity,Max.   :20.0  
,   Quantity,NA
, product_id,Length:100196     
, product_id,Class :character  
, product_id,Mode  :character  
, product_id,NA
, product_id,NA
, product_id,NA
, product_id,NA
, seller_id,Length:100196     
, seller_id,Class :character  
, seller_id,Mode  :character  
, seller_id,NA
, seller_id,NA
, seller_id,NA
, seller_id,NA
,shipping_limit_date,Min.   :2016-09-19 23:11:00  
,shipping_limit_date,1st Qu.:2017-09-21 02:26:00  
,shipping_limit_date,Median :2018-01-26 14:19:30  
,shipping_limit_date,Mean   :2018-01-08 13:37:18  
,shipping_limit_date,3rd Qu.:2018-05-11 01:31:15  
,shipping_limit_date,Max.   :2020-04-09 22:35:00  
,shipping_limit_date,NA
,    Price,Min.   :   0.85  
,    Price,1st Qu.:  40.00  
,    Price,Median :  78.00  
,    Price,Mean   : 123.75  
